timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,temperature (degC)
66540901,0,0,0,0,1,393.1875
105896353,0,0,0,0,1,419.65625
145252435,0,0,0,0,1,440.40625
184608301,0,0,0,0,1,455.75
223964125,0,0,0,0,1,472.3125
263319761,0,0,0,0,1,484.71875
302675698,0,0,0,0,1,494.0
342031696,0,0,0,0,1,500.90625
381387919,0,0,0,0,1,504.84375
420743841,0,0,0,0,1,511.65625
460099688,0,0,0,0,1,511.6875
499455435,0,0,0,0,0,0.4375
538811143,0,0,0,0,1,1.75
578166700,0,0,0,0,1,8.5
617522203,0,0,0,0,1,9.375
656877854,0,0,0,0,1,11.8125
696233340,0,0,0,0,1,12.46875
735588850,0,0,0,0,1,13.96875
774944302,0,0,0,0,1,12.28125
814299801,0,0,0,0,1,12.0625
853655557,0,0,0,0,1,10.5
893011019,0,0,0,0,1,13.21875
932366300,0,0,0,0,1,13.21875
971721642,0,0,0,0,1,10.875
1011077169,0,0,0,0,1,7.375
1050433439,0,0,0,0,1,10.0625
1089789905,0,0,0,0,1,7.90625
1129146196,0,0,0,0,1,8.125
1168502703,0,0,0,0,1,9.40625
1207859316,0,0,0,0,1,6.40625
1247215674,0,0,0,0,1,6.46875
1286572083,0,0,0,0,1,6.625
1325928170,0,0,0,0,1,5.28125
1365284326,0,0,0,0,1,6.21875
1404640420,0,0,0,0,1,2.625
1443996841,0,0,0,0,1,4.6875
1483353188,0,0,0,0,1,0.375
1522709535,0,0,0,0,1,2.46875
1562065724,0,0,0,0,1,511.03125
1601422706,0,0,0,0,1,511.21875
1640779589,0,0,0,0,1,510.59375
1680136396,0,0,0,0,1,505.0625
1719493170,0,0,0,0,1,503.0625
1758850084,0,0,0,0,1,501.75
1798206652,0,0,0,0,1,498.40625
1837563429,0,0,0,0,1,495.71875
1876920051,0,0,0,0,1,493.21875
1916276674,0,0,0,0,1,492.125
1955633442,0,0,0,0,1,492.4375
1994990327,0,0,0,0,1,495.53125
2034346978,0,0,0,0,1,492.25
2073703842,0,0,0,0,1,488.625
2113060647,0,0,0,0,1,490.21875
2152417669,0,0,0,0,1,490.78125
2191774200,0,0,0,0,1,488.53125
2231131028,0,0,0,0,1,487.59375
2270487893,0,0,0,0,1,485.78125
2309844775,0,0,0,0,1,485.40625
2349201614,0,0,0,0,1,483.96875
2388558551,0,0,0,0,1,485.96875
2427915234,0,0,0,0,1,486.46875
2467272169,0,0,0,0,1,484.28125
2506628981,0,0,0,0,1,483.96875
2545985892,0,0,0,0,1,485.90625
2585343037,0,0,0,0,1,481.0
2624699924,0,0,0,0,1,482.1875
2664056936,0,0,0,0,1,482.6875
2703413695,0,0,0,0,1,480.1875
2742770466,0,0,0,0,1,483.65625
2782127205,0,0,0,0,1,483.46875
2821483923,0,0,0,0,1,477.75
2860840961,0,0,0,0,1,476.84375
2900197744,0,0,0,0,1,479.8125
2939554812,0,0,0,0,1,481.90625
2978911619,0,0,0,0,1,477.9375
3018268201,0,0,0,0,1,479.21875
3057624957,0,0,0,0,1,480.75
3096981893,0,0,0,0,1,481.75
3136338782,0,0,0,0,1,480.0625
3175695835,0,0,0,0,1,481.71875
3215052780,0,0,0,0,1,477.71875
3254409495,0,0,0,0,1,480.03125
3293766236,0,0,0,0,1,476.71875
3333123220,0,0,0,0,1,478.9375
3372480097,0,0,0,0,1,478.21875
3411836774,0,0,0,0,1,478.0625
3451193506,0,0,0,0,1,475.46875
3490550233,0,0,0,0,1,476.21875
3529907027,0,0,0,0,1,475.65625
3569263872,0,0,0,0,1,471.96875
3608620711,0,0,0,0,1,474.3125
